Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
02-Apr-24,54141.65,54141.65,53823.55,54096.95,22408564,2198.64
03-Apr-24,54056.2,54101.6,53522.9,53866.7,26519949,2589.13
04-Apr-24,54072.95,54116,53502.9,53634.45,42306230,3533.41
05-Apr-24,53718.2,54094.5,53569.65,53925.95,36332781,2645.52
08-Apr-24,54100.25,54228.9,53902.45,53966.05,25908662,2514.08
09-Apr-24,54081.1,54091.35,53552.65,53629.35,19285010,1813.7
10-Apr-24,53869.6,54370.5,53601.35,54290.9,31587962,2993.17
12-Apr-24,54244.45,54275.6,53653.45,53701.4,39452062,3805.98
15-Apr-24,53299.05,53475.15,52778.75,53174.95,29860910,3408.66
16-Apr-24,52996.55,53526.75,52937.25,53402.25,26633509,2798.85
18-Apr-24,53482.9,53571.75,52719.7,52825.5,43126654,4102.01
19-Apr-24,52530,53229.75,52398.75,53055.45,31573914,2877.35
22-Apr-24,53318.9,53594.6,53128.2,53499.45,25556662,2560.83
23-Apr-24,53622,54037.95,53523.45,53905.3,25497438,2365.74
24-Apr-24,53755.35,54033.95,53731.6,53932.5,24780822,2808.13
25-Apr-24,53998.45,54358.2,53642.05,54291.65,52248911,5109.54
26-Apr-24,54441.5,54601.6,54119.75,54300.75,30678021,2758.75
29-Apr-24,54527.15,54557.25,54125.5,54332.15,30267446,2322.24
30-Apr-24,54519.5,54670.3,54181.95,54240.6,28585135,2890.73
02-May-24,54155.15,54757.35,54154.9,54490.55,44666573,3626.43
03-May-24,54688.85,54702.55,53913.3,54273.9,44046213,3531.09
06-May-24,54544.15,54697.7,54149.5,54660.15,29304073,3736
07-May-24,54942.6,56222.75,54855.8,55765.55,102912754,9104.74
08-May-24,55704.3,56124.3,55569.7,56008.8,36605492,3513.15
09-May-24,55924.6,56020.35,54533.45,54625.1,44744181,3322.91
10-May-24,54739.25,55407.1,54601.75,55276.5,27386226,2519.82
13-May-24,55386.95,55525.9,54816.85,55340.7,26265940,2694.74
14-May-24,55320.35,55504.45,55011.75,55054.3,31377929,2945.31
15-May-24,55172,55292.35,54507.7,54555.95,20113233,2052.93
16-May-24,54757.3,55066.2,54159.35,54997,40650011,3284.08
17-May-24,55094.95,55136.6,54735.45,55064.7,22054770,1857.02
18-May-24,55212.1,55278.5,55114.05,55217.85,1921719,199
21-May-24,54998.65,55139.55,54764.55,54969.25,23384482,2340.51
22-May-24,55154.9,55898.45,55067.8,55753.9,29716955,2938.63
23-May-24,55925.3,56062,55400.6,55899,41694859,3109.7
24-May-24,55847.25,55894.55,55369.55,55449.15,26674728,2244.27
27-May-24,55649.6,55708.7,55194.55,55260.5,26845377,2321.99
28-May-24,55328.7,55461.3,55136.55,55271.95,28037691,2598.65
29-May-24,54920.7,55254.7,54918.25,54974.25,24347923,2236.65
30-May-24,54776.5,54933.05,54095.25,54280.1,34245427,2792.23
31-May-24,54510.8,54588.7,53897.7,54107.35,68200379,6272.89
03-Jun-24,55139,55184.85,54552.15,54653.6,30730444,2482.66
04-Jun-24,54633.8,55446.3,53057.65,55172.5,98336019,8201.67
05-Jun-24,55799,58832.65,55646.95,57567.4,100182286,10729.89
06-Jun-24,57851.65,57862,56736.8,57373.6,56043136,4815.46
07-Jun-24,57282.6,58075.45,57201.55,57953.35,54102607,4526.87
10-Jun-24,58038.15,58266.05,57769.2,57991.75,29107646,2762.52
11-Jun-24,58081.15,58233.65,57725.15,57792.85,27929988,2490.45
12-Jun-24,57886.25,57945.4,57446.75,57495.55,34064621,2760.26
13-Jun-24,57676.25,57679.25,57059.25,57117,51612349,4299.09
14-Jun-24,57162.05,57401.25,57051.45,57225.85,30378166,2664.82
18-Jun-24,57370.85,57490.65,57039,57167.4,33697371,3009.78
19-Jun-24,57373.3,57409.8,56555.85,56646.55,31170793,2730.75
20-Jun-24,56705.1,56895.2,56352.2,56669.65,29926432,2696.98
21-Jun-24,56737.55,56761.3,55906.65,55990.1,47513070,3942.61
24-Jun-24,55958.1,56463,55837.4,56392.7,23877840,2482.19
25-Jun-24,56457.65,56544.05,56084.55,56246.35,22208745,1937.14
26-Jun-24,56257.7,56609.8,56089.8,56465.2,27861957,2463.76
27-Jun-24,56427.7,56787.6,56230.75,56670.6,61574164,5363.73
28-Jun-24,56709.1,57007.45,56560.35,56756.85,30844627,2678.56
01-Jul-24,56745.5,57234.4,56672.8,57154.7,26734634,2659.25
02-Jul-24,57360.65,57374,56473.95,56669.2,26888399,2312.9
03-Jul-24,56850.5,57276.65,56805.15,57177.55,20469345,2038.66
04-Jul-24,57325.7,57446.05,57030.35,57058.4,21081657,1935.31
05-Jul-24,57102.35,57737.75,57048.75,57673,28151175,2477.26
08-Jul-24,57888.45,58673.95,57748.95,58611.2,49528761,4242.98
09-Jul-24,59018,59425.75,58673,59182.65,45862882,3658.36
10-Jul-24,59219.4,59545.75,58687.15,59349.6,29817000,2918.54
11-Jul-24,59403.3,59587.6,58980.75,59516.7,35307324,3007.72
